id,year,month,total_taxi_per_day,total_passenger_trips,avg_trips_per_day,avg_trips_per_taxi,avg_distance_per_trips,avg_speed,total_pkt,total_pht,avg_cost_per_trips,avg_duration_per_trips,date,target,monthly_avg_temp,monthly_avg_humidity,monthly_total_precipitation,monthly_total_rain,monthly_rainy_hours,monthly_rainy_days,target_original,target_was_imputed,quarter,is_rainy_season,is_high_tourism_season,is_songkran_month,is_new_year_month,target_lag_1,target_lag_2,target_lag_3,target_rolling_3_mean,target_rolling_6_mean,target_pct_change_1
18,2023,7,2347.0,174443.0,21805.0,9.0,10.42,32.04,2545832.6,79586.79,112.32,19.55,2023-07-01,21805.0,28.494758064516127,78.35215053763442,259.0,259.0,235,31,21805.0,0,3,1,0,0,0,22185.0,22824.0,23811.0,22940.0,25309.5,-0.027996845425867556
19,2023,8,2401.0,20594.0,20594.0,9.0,10.0,29.47,288252.24,10044.95,111.54,20.9,2023-08-01,20594.0,28.44879032258065,78.66263440860214,254.6,254.6,244,31,20594.0,0,3,1,0,0,0,21805.0,22185.0,22824.0,22271.333333333332,23981.666666666668,-0.017128690556682424
20,2023,9,,,,,,,,,,,2023-09-01,20697.333333333332,27.823749999999997,83.33888888888889,364.3,364.3,356,30,,1,3,1,0,0,0,20594.0,21805.0,22185.0,21528.0,22818.5,-0.05553772070626006
21,2023,10,,,,,,,,,,,2023-10-01,20800.666666666668,27.599193548387095,84.09139784946237,246.8,246.8,287,30,,1,4,1,0,0,0,20697.333333333332,20594.0,21805.0,21032.11111111111,21986.05555555556,0.005017642679097323
22,2023,11,2187.0,167233.0,20904.0,10.0,10.41,31.21,2437958.63,78134.73,113.05,20.02,2023-11-01,20904.0,26.74888888888889,77.29444444444445,63.2,63.2,82,16,20904.0,0,4,0,1,0,0,20800.666666666668,20697.333333333332,20594.0,20697.333333333332,21484.333333333332,0.004992591638214305
23,2023,12,2094.0,124468.0,20745.0,10.0,10.71,32.51,1865495.24,57359.73,114.78,19.75,2023-12-01,20745.0,27.220698924731185,66.95295698924731,33.0,33.0,52,15,20745.0,0,4,0,1,0,0,20904.0,20800.666666666668,20697.333333333332,20800.666666666668,21164.333333333332,0.0049677894939264
24,2024,1,2066.0,591425.0,19078.0,9.0,10.6,32.15,8774565.61,271686.24,113.95,19.69,2024-01-01,19078.0,27.781317204301075,65.84274193548387,13.6,13.6,24,7,19078.0,0,1,0,1,0,1,20745.0,20904.0,20800.666666666668,20816.55555555556,20924.333333333332,-0.0076061997703789075
25,2024,2,1993.0,550464.0,18982.0,10.0,10.46,31.28,8058437.26,258360.59,113.14,20.12,2024-02-01,18982.0,28.95876436781609,72.308908045977,19.9,19.9,52,17,18982.0,0,1,0,1,0,0,19078.0,20745.0,20904.0,20242.333333333332,20469.833333333332,-0.08035671246083398
26,2024,3,1934.0,566612.0,18278.0,9.0,10.4,31.18,8250122.76,262865.67,112.15,19.88,2024-03-01,18278.0,29.54690860215054,75.25268817204301,66.5,66.5,86,21,18278.0,0,1,0,0,0,0,18982.0,19078.0,20745.0,19601.666666666668,20201.166666666668,-0.0050319740014677095
27,2024,4,1855.0,529242.0,17641.0,10.0,10.78,32.52,7985932.11,241809.76,114.58,19.58,2024-04-01,17641.0,31.798055555555553,69.96111111111111,5.3,5.3,15,8,17641.0,0,2,0,0,1,0,18278.0,18982.0,19078.0,18779.333333333332,19797.944444444445,-0.03708776735855024
28,2024,5,1835.0,509072.0,16422.0,9.0,10.32,30.99,7357411.88,237158.56,112.55,19.97,2024-05-01,16422.0,30.127956989247313,77.84139784946237,269.7,269.7,218,27,16422.0,0,2,1,0,0,0,17641.0,18278.0,18982.0,18300.333333333332,19271.333333333332,-0.034850640113798015
29,2024,6,1811.0,490998.0,16367.0,9.0,10.24,30.59,7039719.15,231154.26,112.35,20.18,2024-06-01,16367.0,28.976388888888888,78.55833333333334,178.8,178.8,212,30,16367.0,0,2,1,0,0,0,16422.0,17641.0,18278.0,17447.0,18524.333333333332,-0.06910039113428945
30,2024,7,1801.0,494923.0,15965.0,9.0,10.2,30.47,7065686.45,232752.46,111.94,20.15,2024-07-01,15965.0,27.724865591397847,83.59005376344086,331.9,331.9,349,31,15965.0,0,3,1,0,0,0,16367.0,16422.0,17641.0,16810.0,17794.666666666668,-0.0033491657532578323
31,2024,8,1698.0,474378.0,15303.0,9.0,10.16,29.8,6750504.26,228854.67,112.44,20.68,2024-08-01,15303.0,28.49811827956989,80.61827956989248,162.5,162.5,214,30,15303.0,0,3,1,0,0,0,15965.0,16367.0,16422.0,16251.333333333334,17275.833333333332,-0.02456161788965605
32,2024,9,1505.0,420333.0,14011.0,9.0,10.12,30.01,5952409.7,199260.69,111.46,20.32,2024-09-01,14011.0,27.799027777777777,83.10694444444445,293.9,293.9,296,30,14011.0,0,3,1,0,0,0,15303.0,15965.0,16367.0,15878.333333333334,16662.666666666668,-0.041465706232383326
33,2024,10,1541.0,445101.0,14358.0,9.0,10.36,30.78,6454200.62,209884.71,112.64,20.21,2024-10-01,14358.0,27.62540322580645,82.66666666666667,219.0,219.0,227,27,14358.0,0,4,1,0,0,0,14011.0,15303.0,15965.0,15093.0,15951.5,-0.08442788995621775
34,2024,11,1620.0,134459.0,14940.0,9.0,10.58,30.7,1991302.61,65484.16,115.21,20.87,2024-11-01,14940.0,28.331111111111113,69.20694444444445,66.4,66.4,78,18,14940.0,0,4,0,1,0,0,14358.0,14011.0,15303.0,14557.333333333334,15404.333333333334,0.024766255085290068
35,2024,12,1571.0,458264.0,14783.0,9.0,10.83,31.99,6947573.58,216616.68,116.02,20.26,2024-12-01,14783.0,28.371236559139785,52.899193548387096,9.5,9.5,22,5,14783.0,0,4,0,1,0,0,14940.0,14358.0,14011.0,14436.333333333334,15157.333333333334,0.040534893439197583
36,2025,1,1560.0,438955.0,14160.0,9.0,10.83,32.22,6656206.69,206252.74,115.94,20.14,2025-01-01,14160.0,27.38817204301075,46.36290322580645,0.2,0.2,1,1,14160.0,0,1,0,1,0,1,14783.0,14940.0,14358.0,14693.666666666666,14893.333333333334,-0.010508701472556892
37,2025,2,1489.0,177228.0,12659.0,8.0,10.47,31.11,2596572.4,83946.34,113.59,20.3,2025-02-01,12659.0,28.687648809523807,62.166666666666664,58.9,58.9,68,13,12659.0,0,1,0,1,0,0,14160.0,14783.0,14940.0,14627.666666666666,14592.5,-0.04214300209700328
38,2025,3,1573.0,430909.0,13900.0,9.0,10.62,31.26,6404858.29,204624.96,114.51,20.35,2025-03-01,13900.0,30.167473118279567,64.95698924731182,61.6,61.6,70,18,13900.0,0,1,0,0,0,0,12659.0,14160.0,14783.0,13867.333333333334,14151.833333333334,-0.10600282485875712
39,2025,4,,,,,,,,,,,2025-04-01,13166.666666666666,30.15763888888889,71.44444444444444,87.7,87.7,107,25,,1,2,0,0,1,0,13900.0,12659.0,14160.0,13573.0,14133.333333333334,0.09803301998578084
40,2025,5,,,,,,,,,,,2025-05-01,12433.333333333334,28.63588709677419,82.67338709677419,257.0,257.0,290,30,,1,2,1,0,0,0,13166.666666666666,13900.0,12659.0,13241.888888888889,13934.77777777778,-0.052757793764988015
41,2025,6,1457.0,58502.0,11700.0,8.0,10.06,29.17,824276.88,28920.54,112.37,21.19,2025-06-01,11700.0,28.41611111111111,79.54305555555555,184.5,184.5,233,30,11700.0,0,2,1,0,0,0,12433.333333333334,13166.666666666666,13900.0,13166.666666666666,13517.0,-0.05569620253164553
42,2025,7,,,,,,,,,,,2025-07-01,10547.5,27.84005376344086,82.42338709677419,217.0,217.0,294,31,,1,3,1,0,0,0,11700.0,12433.333333333334,13166.666666666666,12433.333333333334,13003.166666666666,-0.05898123324396787
43,2025,8,1103.0,75158.0,9395.0,9.0,10.22,30.58,1075421.01,35975.91,112.45,20.51,2025-08-01,9395.0,28.18978494623656,78.25806451612904,183.8,183.8,196,27,9395.0,0,3,1,0,0,0,10547.5,11700.0,12433.333333333334,11560.27777777778,12401.083333333334,-0.09850427350427349
44,2025,9,,,,,,,,,,,2025-09-01,9701.5,27.412222222222223,84.41944444444445,263.4,263.4,327,30,,1,3,1,0,0,0,9395.0,10547.5,11700.0,10547.5,11857.083333333334,-0.10926759895709881
45,2025,10,,,,,,,,,,,2025-10-01,10008.0,27.77177419354839,80.5241935483871,189.6,189.6,186,30,,1,4,1,0,0,0,9701.5,9395.0,10547.5,9881.333333333334,11157.333333333334,0.032623736029803174
46,2025,11,,,,,,,,,,,2025-11-01,10314.5,26.07,73.06388888888888,162.4,162.4,142,17,,1,4,0,1,0,0,10008.0,9701.5,9395.0,9701.5,10630.888888888889,0.031593052620728646
47,2025,12,,,,,,,,,,,2025-12-01,10621.0,27.660618279569892,61.384408602150536,9.2,9.2,21,9,,1,4,0,1,0,0,10314.5,10008.0,9701.5,10008.0,10277.75,0.030625499600319683
48,2026,1,,,,,,,,,,,2026-01-01,10927.5,27.186290322580643,53.715053763440864,14.4,14.4,25,7,,1,1,0,1,0,1,10621.0,10314.5,10008.0,10314.5,10097.916666666666,0.029715449125018223
49,2026,2,1163.0,213437.0,11234.0,10.0,10.71,30.78,3200764.34,107779.71,116.86,21.64,2026-02-01,11234.0,29.21324404761905,66.30952380952381,34.7,34.7,66,20,11234.0,0,1,0,1,0,0,10927.5,10621.0,10314.5,10621.0,10161.25,0.0288579229827699
50,2026,3,1170.0,84522.0,10565.0,9.0,10.61,30.5,1254939.4,42059.57,115.66,21.33,2026-03-01,10565.0,30.219086021505376,61.89247311827957,22.8,22.8,63,20,10565.0,0,1,0,0,0,0,11234.0,10927.5,10621.0,10927.5,10467.75,0.02804850148707394
