id,year,month,total_taxi_per_day,total_passenger_trips,avg_trips_per_day,avg_trips_per_taxi,avg_distance_per_trips,avg_speed,total_pkt,total_pht,avg_cost_per_trips,avg_duration_per_trips,date,target
1,2022,2,7007.0,1394232.0,49794.0,7.0,9.82,31.72,19169359.77,604915.68,97.22,18.59,2022-02-01,49794.0
2,2022,3,,,,,,,,,,,2022-03-01,
3,2022,4,3713.0,936846.0,34698.0,9.0,9.95,32.33,13043918.57,402707.82,97.89,18.42,2022-04-01,34698.0
4,2022,5,3888.0,1162051.0,37486.0,10.0,9.76,30.86,15878076.71,521339.91,97.59,19.23,2022-05-01,37486.0
5,2022,6,3874.0,1130321.0,37677.0,10.0,9.69,30.4,15326964.19,511961.42,97.35,19.41,2022-06-01,37677.0
6,2022,7,4181.0,1227813.0,39607.0,9.0,9.83,31.17,16889161.82,544595.07,97.77,19.01,2022-07-01,39607.0
7,2022,8,4262.0,1093112.0,39040.0,9.0,9.75,29.91,14927064.57,511149.39,98.48,20.04,2022-08-01,39040.0
8,2022,9,3521.0,1065731.0,35524.0,10.0,9.62,29.65,14358127.67,495080.12,97.37,19.91,2022-09-01,35524.0
9,2022,10,,,,,,,,,,,2022-10-01,
10,2022,11,3372.0,571363.0,35710.0,11.0,9.99,31.17,7990521.38,259397.05,99.08,19.46,2022-11-01,35710.0
11,2022,12,3106.0,391108.0,32592.0,10.0,10.16,31.26,5563593.05,182134.81,100.85,19.96,2022-12-01,32592.0
12,2023,1,3010.0,476351.0,29772.0,10.0,10.24,32.28,6830051.6,213688.0,102.14,19.23,2023-01-01,29772.0
13,2023,2,2869.0,413598.0,27573.0,10.0,10.17,31.66,5889146.38,186183.89,108.62,19.29,2023-02-01,27573.0
14,2023,3,,,,,,,,,,,2023-03-01,
15,2023,4,2381.0,380981.0,23811.0,10.0,10.84,32.93,5779680.48,173185.05,114.74,19.48,2023-04-01,23811.0
16,2023,5,2453.0,365182.0,22824.0,9.0,10.37,31.2,5303280.26,171538.24,112.78,20.13,2023-05-01,22824.0
17,2023,6,2405.0,177482.0,22185.0,9.0,10.3,30.48,2559027.06,84740.49,112.79,20.46,2023-06-01,22185.0
18,2023,7,2347.0,174443.0,21805.0,9.0,10.42,32.04,2545832.6,79586.79,112.32,19.55,2023-07-01,21805.0
19,2023,8,2401.0,20594.0,20594.0,9.0,10.0,29.47,288252.24,10044.95,111.54,20.9,2023-08-01,20594.0
20,2023,9,,,,,,,,,,,2023-09-01,
21,2023,10,,,,,,,,,,,2023-10-01,
22,2023,11,2187.0,167233.0,20904.0,10.0,10.41,31.21,2437958.63,78134.73,113.05,20.02,2023-11-01,20904.0
23,2023,12,2094.0,124468.0,20745.0,10.0,10.71,32.51,1865495.24,57359.73,114.78,19.75,2023-12-01,20745.0
24,2024,1,2066.0,591425.0,19078.0,9.0,10.6,32.15,8774565.61,271686.24,113.95,19.69,2024-01-01,19078.0
25,2024,2,1993.0,550464.0,18982.0,10.0,10.46,31.28,8058437.26,258360.59,113.14,20.12,2024-02-01,18982.0
26,2024,3,1934.0,566612.0,18278.0,9.0,10.4,31.18,8250122.76,262865.67,112.15,19.88,2024-03-01,18278.0
27,2024,4,1855.0,529242.0,17641.0,10.0,10.78,32.52,7985932.11,241809.76,114.58,19.58,2024-04-01,17641.0
28,2024,5,1835.0,509072.0,16422.0,9.0,10.32,30.99,7357411.88,237158.56,112.55,19.97,2024-05-01,16422.0
29,2024,6,1811.0,490998.0,16367.0,9.0,10.24,30.59,7039719.15,231154.26,112.35,20.18,2024-06-01,16367.0
30,2024,7,1801.0,494923.0,15965.0,9.0,10.2,30.47,7065686.45,232752.46,111.94,20.15,2024-07-01,15965.0
31,2024,8,1698.0,474378.0,15303.0,9.0,10.16,29.8,6750504.26,228854.67,112.44,20.68,2024-08-01,15303.0
32,2024,9,1505.0,420333.0,14011.0,9.0,10.12,30.01,5952409.7,199260.69,111.46,20.32,2024-09-01,14011.0
33,2024,10,1541.0,445101.0,14358.0,9.0,10.36,30.78,6454200.62,209884.71,112.64,20.21,2024-10-01,14358.0
34,2024,11,1620.0,134459.0,14940.0,9.0,10.58,30.7,1991302.61,65484.16,115.21,20.87,2024-11-01,14940.0
35,2024,12,1571.0,458264.0,14783.0,9.0,10.83,31.99,6947573.58,216616.68,116.02,20.26,2024-12-01,14783.0
36,2025,1,1560.0,438955.0,14160.0,9.0,10.83,32.22,6656206.69,206252.74,115.94,20.14,2025-01-01,14160.0
37,2025,2,1489.0,177228.0,12659.0,8.0,10.47,31.11,2596572.4,83946.34,113.59,20.3,2025-02-01,12659.0
38,2025,3,1573.0,430909.0,13900.0,9.0,10.62,31.26,6404858.29,204624.96,114.51,20.35,2025-03-01,13900.0
39,2025,4,,,,,,,,,,,2025-04-01,
40,2025,5,,,,,,,,,,,2025-05-01,
41,2025,6,1457.0,58502.0,11700.0,8.0,10.06,29.17,824276.88,28920.54,112.37,21.19,2025-06-01,11700.0
42,2025,7,,,,,,,,,,,2025-07-01,
43,2025,8,1103.0,75158.0,9395.0,9.0,10.22,30.58,1075421.01,35975.91,112.45,20.51,2025-08-01,9395.0
44,2025,9,,,,,,,,,,,2025-09-01,
45,2025,10,,,,,,,,,,,2025-10-01,
46,2025,11,,,,,,,,,,,2025-11-01,
47,2025,12,,,,,,,,,,,2025-12-01,
48,2026,1,,,,,,,,,,,2026-01-01,
49,2026,2,1163.0,213437.0,11234.0,10.0,10.71,30.78,3200764.34,107779.71,116.86,21.64,2026-02-01,11234.0
50,2026,3,1170.0,84522.0,10565.0,9.0,10.61,30.5,1254939.4,42059.57,115.66,21.33,2026-03-01,10565.0
