date,monthly_avg_temp,monthly_avg_humidity,monthly_total_precipitation,monthly_total_rain,monthly_rainy_hours,monthly_rainy_days
2023-01-01,25.91021505376344,58.68413978494624,10.4,10.4,24,5
2023-02-01,27.21875,68.22172619047619,62.3,62.3,57,13
2023-03-01,28.856989247311827,68.39650537634408,18.2,18.2,62,16
2023-04-01,30.831111111111113,70.91111111111111,95.2,95.2,78,18
2023-05-01,30.77983870967742,69.99462365591398,102.3,102.3,111,24
2023-06-01,28.83152777777778,78.53472222222223,211.9,211.9,195,29
2023-07-01,28.494758064516127,78.35215053763442,259.0,259.0,235,31
2023-08-01,28.448790322580646,78.66263440860214,254.6,254.6,244,31
2023-09-01,27.823749999999997,83.33888888888889,364.3,364.3,356,30
2023-10-01,27.599193548387095,84.09139784946237,246.8,246.8,287,30
2023-11-01,26.74888888888889,77.29444444444445,63.2,63.2,82,16
2023-12-01,27.220698924731185,66.95295698924731,33.0,33.0,52,15
2024-01-01,27.781317204301075,65.84274193548387,13.6,13.6,24,7
2024-02-01,28.95876436781609,72.308908045977,19.900000000000002,19.900000000000002,52,17
2024-03-01,29.54690860215054,75.25268817204301,66.5,66.5,86,21
2024-04-01,31.798055555555553,69.96111111111111,5.3,5.3,15,8
2024-05-01,30.127956989247313,77.84139784946237,269.7,269.7,218,27
2024-06-01,28.976388888888888,78.55833333333334,178.8,178.8,212,30
2024-07-01,27.724865591397847,83.59005376344086,331.9,331.9,349,31
2024-08-01,28.49811827956989,80.61827956989248,162.5,162.5,214,30
2024-09-01,27.799027777777777,83.10694444444445,293.9,293.9,296,30
2024-10-01,27.62540322580645,82.66666666666667,219.0,219.0,227,27
2024-11-01,28.331111111111113,69.20694444444445,66.4,66.4,78,18
2024-12-01,28.371236559139785,52.899193548387096,9.5,9.5,22,5
2025-01-01,27.38817204301075,46.36290322580645,0.2,0.2,1,1
2025-02-01,28.687648809523807,62.166666666666664,58.9,58.9,68,13
2025-03-01,30.167473118279567,64.95698924731182,61.6,61.6,70,18
2025-04-01,30.15763888888889,71.44444444444444,87.7,87.7,107,25
2025-05-01,28.63588709677419,82.67338709677419,257.0,257.0,290,30
2025-06-01,28.41611111111111,79.54305555555555,184.5,184.5,233,30
2025-07-01,27.84005376344086,82.42338709677419,217.0,217.0,294,31
2025-08-01,28.18978494623656,78.25806451612904,183.8,183.8,196,27
2025-09-01,27.412222222222223,84.41944444444445,263.4,263.4,327,30
2025-10-01,27.77177419354839,80.5241935483871,189.6,189.6,186,30
2025-11-01,26.07,73.06388888888888,162.4,162.4,142,17
2025-12-01,27.660618279569892,61.384408602150536,9.2,9.2,21,9
2026-01-01,27.186290322580643,53.715053763440864,14.4,14.4,25,7
2026-02-01,29.213244047619046,66.30952380952381,34.7,34.7,66,20
2026-03-01,30.219086021505376,61.89247311827957,22.8,22.8,63,20
